name,symbol,price,volume,mkt_cap,coingecko_rank,vol / mkt_cap,dominance,num_holders,whitepaper,coingecko_likes,fully_diluted_valuation,meme_coin
cDAI,CDAI,0.022210403289,203636.0,2994496198.0,34.0,0.0,0.0019679648,,,4042.0,3453170242.3225408,-1
Algorand,ALGO,14.84,246768630.0,2851657109.0,35.0,0.087,0.0018740918,,1.0,127718.0,,-1
PancakeSwap,CAKE,40.79,155947873.0,2776678658.0,36.0,0.056,0.0018248164,,,1938.0,2780414046.9,-1
LEO Token,LEO,5.95,2847755.0,2763603297.0,37.0,0.001,0.0018162234,,1.0,31933.0,4139166052.0,-1
Celsius Network,CEL,0.875922,17598793.0,2725048780.0,38.0,0.006,0.0017908856,,1.0,75364.0,8756660168.0,-1
Amp,AMP,10.85,17251961.0,2674317993.0,39.0,0.006,0.0017575456,24657.0,,8046.0,3255000000.0,-1
OKB,OKB,0.051384987524,184787388.0,2667171429.0,40.0,0.069,0.0017528489,44501.0,,21123.0,5087322542.0,-1
cETH,CETH,139.12,26960228.0,2634332848.0,41.0,0.01,0.0017312676,,,13193.0,2921520000.0,-1
Bitcoin SV,BSV,33.7,475125832.0,2609438903.0,42.0,0.182,0.0017149075,,1.0,54607.0,3370000000.0000005,-1
FTX Token,FTT,30.65,42568044.0,2600108891.0,43.0,0.016,0.0017087758,,,26042.0,10342328033.0,-1
NEO,NEO,2.93,347600078.0,2447589827.0,44.0,0.142,0.0016085412,,1.0,4234.0,2886751746.7200003,-1
Maker,MKR,2604.23,109214245.0,2429257774.0,45.0,0.045,0.0015964935,81798.0,,37886.0,2617763645.0,-1
Klaytn,KLAY,0.954229,77021318.0,2426628999.0,46.0,0.032,0.0015947659,,1.0,6922.0,,-1
Tezos,XTZ,0.784407,65806263.0,2313784434.0,47.0,0.028,0.0015206051,,1.0,60523.0,2180283010.6971807,-1
Compound,COMP,2.85,283760687.0,2280970499.0,48.0,0.124,0.00149904,172167.0,1.0,59825.0,,-1
IOTA,MIOTA,410.84,39529249.0,2272382830.0,49.0,0.017,0.0014933963,,1.0,54108.0,4107382017.0,-1
Avalanche,AVAX,12.31,73488885.0,2146519144.0,50.0,0.034,0.0014106794,,,58280.0,8857522535.0,-1
The Graph,GRT,199.48,127004204.0,2015369367.0,51.0,0.063,0.0013244886,,,69292.0,1996076841.0,-1
TerraUSD,UST,,79890979.0,1935958002.0,52.0,0.041,0.0012722999,,,,,-1
Theta Fuel,TFUEL,6.13,155752304.0,1917880289.0,53.0,0.081,0.0012604193,,1.0,50915.0,3064036272.0,-1
Kusama,KSM,0.33253,139777367.0,1897048680.0,54.0,0.074,0.0012467289,,1.0,26937.0,1762808036.0,-1
Synthetix Network Token,SNX,1.0,365657226.0,1858410493.0,55.0,0.197,0.0012213361,77402.0,,4289.0,1929999030.0,-1
Elrond,EGLD,128.19,39555952.0,1737265379.0,56.0,0.023,0.0011417203,,1.0,11493.0,2691990000.0,-1
Decred,DCR,2.877736e-06,80858595.0,1705655737.0,57.0,0.047,0.0011209466,,1.0,174854.0,2877736000.0,-1
THORChain,RUNE,0.002474738492,73450574.0,1699402938.0,58.0,0.043,0.0011168373,,1.0,95538.0,2449991107.08,-1
SafeMoon,SAFEMOON,9.36,15428044.0,1681311419.0,59.0,0.009,0.0011049477,,,13173.0,4678271483.0,-1
BitTorrent,BTT,11.99,165215647.0,1681262953.0,60.0,0.098,0.0011049158,74.0,,72924.0,2749717206.0,-1
Huobi Token,HT,7.59,81506960.0,1637137824.0,61.0,0.05,0.0010759171,,,61946.0,1897197124.0,-1
Sushi,SUSHI,87.61,245947265.0,1597338668.0,62.0,0.154,0.0010497613,,1.0,61539.0,1787055025.23,-1
Hedera Hashgraph,HBAR,13.99,49829906.0,1559176734.0,63.0,0.032,0.0010246815,,,29704.0,1399000000.0,-1
TrueUSD,TUSD,0.175329,86877842.0,1523901427.0,64.0,0.057,0.0010014988,45525.0,,55199.0,8766450000.0,-1
Waves,WAVES,1.0,121668019.0,1498070176.0,65.0,0.081,0.0009845227,,1.0,3389.0,1500941546.0,-1
Lido Staked Ether,STETH,0.248977,3127562.0,1352819581.0,66.0,0.002,0.0008890648,,1.0,84749.0,2206635574.0,-1
Huobi BTC,HBTC,2037.54,10707948.0,1340310708.0,67.0,0.008,0.0008808441,3296.0,,1251.0,1297699059.0,-1
Dash,DASH,127.3,569737119.0,1315710516.0,68.0,0.433,0.000864677,,1.0,62394.0,2408516000.0,-1
Chiliz,CHZ,33051.0,289293658.0,1310768634.0,69.0,0.221,0.0008614292,92883.0,,1232.0,1318959500.0,-1
Zcash,ZEC,108.39,758102596.0,1253426227.0,70.0,0.605,0.0008237441,,1.0,44940.0,2275320607.0,-1
yearn.finance,YFI,32957.0,191633590.0,1192401742.0,71.0,0.161,0.0007836392,38027.0,,49911.0,1207937832.0,-1
XDC Network,XDC,1.29,6763569.0,1177216729.0,72.0,0.006,0.0007736597,,1.0,91057.0,1289896826.0,-1
Stacks,STX,0.016852902863,169591673.0,1165533791.0,73.0,0.146,0.0007659818,,1.0,31266.0,1685290286.3000002,-1
Enjin Coin,ENJ,0.121123,175965492.0,1135106838.0,74.0,0.155,0.0007459854,,,41867.0,1090106999.878877,-1
Helium,HNT,0.088557865265,7961679.0,1116497908.0,75.0,0.007,0.0007337557,,1.0,13135.0,3329733289.5075464,-1
NEM,XEM,12.24,78106579.0,1112119649.0,76.0,0.07,0.0007308783,,1.0,25306.0,2728036061.0,-1
Holo,HOT,0.005654509325,58688462.0,1037803593.0,77.0,0.057,0.0006820382,,1.0,65332.0,1004350743.2588024,-1
Telcoin,TEL,1.21,16637945.0,1037307326.0,78.0,0.016,0.0006817121,38984.0,1.0,20059.0,2199780000.0,-1
KuCoin Token,KCS,12.75,7486336.0,1008033202.0,79.0,0.007,0.0006624733,3750.0,,26646.0,2145227369.25,-1
Quant,QNT,0.072247989682,13371056.0,991861978.0,80.0,0.013,0.0006518457,19336.0,,82661.0,1517207783.322,-1
TitanSwap,TITAN,75.92,12286434.0,936361338.0,81.0,0.013,0.000615371,,1.0,17811.0,1110115863.0,-1
Paxos Standard,PAX,0.688871,88377119.0,923873894.0,82.0,0.096,0.0006071643,109320.0,1.0,58943.0,1502496179.0,-1
Zilliqa,ZIL,2.08,66922014.0,907513106.0,83.0,0.074,0.0005964121,24631.0,1.0,19044.0,2083140853.0,-1
NEXO,NEXO,1.56,7728741.0,907343892.0,84.0,0.009,0.0005963009,94608.0,1.0,20262.0,1555600759.0,-1
Harmony,ONE,1.0,81645744.0,899118804.0,85.0,0.091,0.0005908954,,1.0,3953.0,907782598.0,-1
Decentraland,MANA,0.549045,196247013.0,891274489.0,86.0,0.22,0.0005857402,,1.0,70079.0,823391785.0,-1
Mdex,MDX,0.080318780862,47241940.0,888665926.0,87.0,0.053,0.0005840259,,1.0,67002.0,,-1
Near,NEAR,1.53,22803540.0,864522346.0,88.0,0.026,0.0005681589,,,10355.0,693072799.74,-1
Basic Attention Token,BAT,43.88,75868201.0,848535798.0,89.0,0.089,0.0005576526,,,17217.0,921480000.0,-1
Axie Infinity,AXS,17.87,1124622580.0,827722251.0,90.0,1.359,0.0005439741,,,29850.0,24409467153.73,-1
Bitcoin Gold,BTG,3.12,35797821.0,799744493.0,91.0,0.045,0.0005255872,,1.0,22966.0,725316160.0,-1
Liquity USD,LUSD,19.93,4954986.0,759282838.0,92.0,0.007,0.0004989961,,,25695.0,5188222279.0,-1
Bancor Network Token,BNT,1.01,50677568.0,741869180.0,93.0,0.068,0.0004875519,,,1080.0,760874265.57,-1
Flow,FLOW,0.003426117854,186997624.0,726856068.0,94.0,0.257,0.0004776854,,1.0,59566.0,2569588390.5,-1
Qtum,QTUM,6.52,287858091.0,708523783.0,95.0,0.406,0.0004656375,,1.0,25977.0,703002087.12,-1
0x,ZRX,58.93,201800381.0,701980603.0,96.0,0.287,0.0004613374,,1.0,14789.0,1237530000.0,-1
Horizen,ZEN,1.67,30654779.0,681195094.0,97.0,0.045,0.0004476773,,1.0,37611.0,5524118075.0,-1
ECOMI,OMI,0.012833300176,4908522.0,648627519.0,98.0,0.008,0.0004262741,,,45117.0,,-1
Siacoin,SC,0.749067,51663915.0,634197468.0,99.0,0.081,0.0004167907,,,39714.0,748720911.0,-1
cUSDT,CUSDT,0.695671,9549106.0,632951133.0,100.0,0.015,0.0004159717,,1.0,27422.0,695671000.0,-1
Curve DAO Token,CRV,0.224084,106922680.0,623281308.0,101.0,0.172,0.0004096167,,1.0,47085.0,710837931.0,-1
ICON,ICX,8.22,111816212.0,610633348.0,102.0,0.183,0.0004013045,,,2234.0,82200000000.0,-1
Ontology,ONT,8.89,147576608.0,608927643.0,103.0,0.242,0.0004001836,,1.0,2442.0,566997808.09,-1
xSUSHI,XSUSHI,0.040608226203,544334.0,607855280.0,104.0,0.001,0.0003994788,,,44360.0,852772750.263,-1
DigiByte,DGB,4.07,15288181.0,607748802.0,105.0,0.025,0.0003994088,,1.0,36873.0,569814831.0,-1
Fantom,FTM,8.86,35718395.0,593232879.0,106.0,0.06,0.0003898691,,1.0,20314.0,917769198.0,-1
Nano,NANO,77.91,11835881.0,589813805.0,107.0,0.02,0.0003876221,,1.0,8984.0,538211808.0,-1
OMG Network,OMG,0.613364,165961937.0,579863396.0,108.0,0.286,0.0003810827,692884.0,1.0,22790.0,613364000.0,-1
HUSD,HUSD,0.021281582453,50161553.0,579740470.0,109.0,0.087,0.0003810019,7583.0,,1042.0,617095544.0575014,-1
SwissBorg,CHSB,4.35,2479234.0,579463360.0,110.0,0.004,0.0003808198,27843.0,1.0,37141.0,579630061.5,-1
UMA,UMA,0.903386,18079431.0,569595763.0,111.0,0.032,0.0003743349,,1.0,32884.0,723124357.5600001,-1
Nexus Mutual,NXM,1.0,75024.0,563678627.0,112.0,0.0,0.0003704462,,,869.0,568304358.0,-1
GateToken,GT,26.37,3966803.0,524360811.0,113.0,0.008,0.0003446068,,,3128.0,553770000.0,-1
Bitcoin Cash ABC,BCHA,3.1,11112059.0,520981603.0,114.0,0.021,0.000342386,,,8138.0,930000000.0,-1
Ankr,ANKR,0.070801059016,20961442.0,497257477.0,115.0,0.042,0.0003267946,,1.0,43003.0,705541329.0,-1
Voyager Token,VGX,0.020906344089,2224911.0,485002566.0,116.0,0.005,0.0003187408,,,21858.0,1875910820.0,-1
Arweave,AR,10.58,11427847.0,481216734.0,117.0,0.024,0.0003162527,,1.0,13307.0,697810303.0,-1
Ravencoin,RVN,2.09,35598056.0,475092255.0,118.0,0.075,0.0003122278,,1.0,18701.0,464596984.72,-1
IOST,IOST,1.07,86615764.0,472959006.0,119.0,0.183,0.0003108258,,,16115.0,1070000000.0,-1
WazirX,WRX,0.050790848256,1760102.0,471797105.0,120.0,0.004,0.0003100622,,,32579.0,1066607813.376,-1
1inch,1INCH,2.42,42952766.0,447110101.0,121.0,0.096,0.0002938381,,,70218.0,3626732758.0,-1
Neutrino USD,USDN,8.27,26231481.0,418796470.0,122.0,0.063,0.0002752305,,,12748.0,1240594562.0,-1
Bitcoin Diamond,BCD,2.08,17382120.0,402684118.0,123.0,0.043,0.0002646416,,,12916.0,416000000.0,-1
Pirate Chain,ARRR,1.0,695487.0,392780886.0,124.0,0.002,0.0002581332,,,806.0,397308655.0,-1
Perpetual Protocol,PERP,14.69,61390316.0,389537823.0,125.0,0.158,0.0002560019,,1.0,10925.0,350180858.0,-1
Livepeer,LPT,2.92,6944061.0,385812682.0,126.0,0.018,0.0002535538,,1.0,19759.0,2922878031.0,-1
HBTC Captain Token,HBC,0.492508,60992.0,383389637.0,127.0,0.0,0.0002519614,,1.0,14059.0,492508000.0,-1
Celo,CELO,19.67,18580015.0,379578231.0,128.0,0.049,0.0002494565,,,269.0,413070000.00000006,-1
Ultra,UOS,2.64,1086617.0,378140660.0,129.0,0.003,0.0002485118,,1.0,19369.0,,-1
renBTC,RENBTC,1.95,15677320.0,372535186.0,130.0,0.042,0.0002448279,,,31510.0,541280595.0,-1
Fei Protocol,FEI,33001.0,24813278.0,367646069.0,131.0,0.067,0.0002416148,,1.0,2000.0,372031447.0,-1
Lisk,LSK,1.97,34698654.0,365252705.0,132.0,0.095,0.0002400419,,1.0,9872.0,413700000.0,-1
BakerySwap,BAKE,0.020453100176,97279986.0,360432914.0,133.0,0.27,0.0002368743,,,32175.0,338601073.41368,-1
Verge,XVG,1.0,11948262.0,347370585.0,134.0,0.034,0.0002282898,,1.0,3375.0,364431481.0,-1
Constellation,DAG,0.355709,4903944.0,337760869.0,135.0,0.015,0.0002219744,,1.0,54287.0,355246630.0,-1
TON Crystal,TON,0.504577,5681153.0,326822135.0,136.0,0.017,0.0002147855,,,1310.0,2538695794.15075,-1
REN,REN,0.022576864998,22369623.0,318310463.0,137.0,0.07,0.0002091917,,1.0,53209.0,2256426353.0,-1
Golem,GLM,0.318313,3311433.0,314557545.0,140.0,0.011,0.0002067253,,1.0,14492.0,318313000.0,-1
Reserve Rights Token,RSR,2.02,26740668.0,313977245.0,138.0,0.085,0.0002063439,,,1753.0,2021891790.0,-1
The Sandbox,SAND,4.3,322582770.0,313885111.0,139.0,1.028,0.0002062834,,,26517.0,594964963.5,-1
Kava.io,KAVA,1.23,31886119.0,309255456.0,141.0,0.103,0.0002032408,,,12212.0,318352519.0,-1
MaidSafeCoin,MAID,0.232757,1050891.0,306512764.0,143.0,0.003,0.0002014383,,,30708.0,319480908.0,-1
Nervos Network,CKB,0.598351,13248776.0,306323681.0,142.0,0.043,0.0002013141,,,11412.0,1790964939.0,-1
Chia,XCH,0.65316,33782554.0,301082745.0,144.0,0.112,0.0001978698,,,5084.0,295589133.42192,-1
Wootrade Network,WOO,0.010467322468,44455882.0,298579295.0,145.0,0.149,0.0001962245,9151.0,1.0,15283.0,,-1
Loopring,LRC,3.52,21714679.0,294417325.0,146.0,0.074,0.0001934893,,1.0,22281.0,1302953076.0,-1
SKALE,SKL,0.226557,26571564.0,293603213.0,147.0,0.091,0.0001929543,,1.0,16139.0,1583905150.0,-1
Gemini Dollar,GUSD,0.000354956084,10837492.0,293201894.0,148.0,0.037,0.0001926905,6265.0,1.0,49456.0,354601127.916,-1
PAX Gold,PAXG,240.63,7530823.0,292012982.0,149.0,0.026,0.0001919092,,1.0,16439.0,5324791542.72,-1
Oxygen,OXY,0.393459,487926.0,289509177.0,150.0,0.002,0.0001902637,,,706.0,262970559.464415,-1
Mirror Protocol,MIR,1.41,20000112.0,288088803.0,151.0,0.069,0.0001893302,,,6807.0,14070531941.0,-1
AscendEx Token,ASD,0.371452,1308514.0,284729850.0,152.0,0.005,0.0001871227,,1.0,5591.0,276285623.919288,-1
Pundi X,PUNDIX,0.451409,8439749.0,282499212.0,153.0,0.03,0.0001856568,,,28787.0,1315235813.0,-1
WINkLink,WIN,0.9942,14482326.0,282051078.0,154.0,0.051,0.0001853623,,1.0,1538.0,297198949.992,-1
cUNI,CUNI,1815.61,158389.0,281586029.0,155.0,0.001,0.0001850566,,,7020.0,295138299.16,-1
sUSD,SUSD,0.068259790049,103211697.0,268302210.0,156.0,0.385,0.0001763266,,1.0,11904.0,464499009.3879421,-1
Pundi X [OLD],NPXS,5.145e-09,17766.87,266509137.0,157.0,0.0,0.0001751482,,,44565.0,514500000.0,-1
Osmosis,OSMO,168.18,1751178.0,266318481.0,158.0,0.007,0.0001750229,,,4915.0,1685067742.0,-1
Gnosis,GNO,0.001195274654,6503525.0,264286645.0,159.0,0.025,0.0001736876,11360.0,1.0,25196.0,308976935.8577375,-1
Status,SNT,0.04415963148,16941349.0,253960862.0,160.0,0.067,0.0001669015,,1.0,11938.0,441596314.8,-1
Klever,KLV,20.83,1041660.0,252232999.0,161.0,0.004,0.000165766,,1.0,21074.0,2082248449.0,-1
Tribe,TRIBE,5.93,2326463.0,250033604.0,162.0,0.009,0.0001643206,11467.0,,10936.0,579597749.3199999,-1
Ergo,ERG,1.01,1200573.0,246271270.0,163.0,0.005,0.000161848,,,1090.0,275410773.0,-1
Balancer,BAL,2038.42,20726434.0,241407019.0,164.0,0.086,0.0001586512,35506.0,,607.0,229054353.0,-1
sETH,SETH,0.166834,4386620.0,239811233.0,165.0,0.018,0.0001576025,,1.0,9539.0,592260700.0,-1
Band Protocol,BAND,2.89,40068712.0,236473724.0,166.0,0.169,0.0001554091,,1.0,16485.0,251429375.76,-1
Persistence,XPRT,7.15,1625567.0,234172561.0,167.0,0.007,0.0001538968,,,6860.0,2894155190.0,-1
FEG Token,FEG,0.7525,1354014.0,231564586.0,168.0,0.006,0.0001521828,,,24727.0,740393369.0,-1
Frax,FRAX,1.42,9981891.0,230376970.0,169.0,0.043,0.0001514024,1235.0,1.0,21080.0,213000000.0,-1
Olympus,OHM,0.583117,3670039.0,229632423.0,170.0,0.016,0.000150913,,,4017.0,582858648.0,-1
VeThor Token,VTHO,0.005798447162,11273884.0,225665001.0,171.0,0.05,0.0001483057,,,33232.0,,-1
Unibright,UBT,6.71,2400427.0,224168564.0,172.0,0.011,0.0001473222,23959.0,1.0,45582.0,672044605.0,-1
Alchemix USD,ALUSD,0.002203125956,1937773.0,223727691.0,173.0,0.009,0.0001470325,,1.0,40514.0,220312595.6,-1
Mina Protocol,MINA,0.714619,5861393.0,222641450.0,174.0,0.026,0.0001463186,,1.0,32686.0,702105110.0,-1
iExec RLC,RLC,1.18,32703665.0,221275128.0,176.0,0.148,0.0001454207,,,19175.0,988147023.76,-1
Dent,DENT,6.44,9469855.0,219350406.0,175.0,0.043,0.0001441558,65088.0,1.0,715.0,322000000.0,-1
Energy Web Token,EWT,5.37,591969.0,214692064.0,177.0,0.003,0.0001410943,,,28636.0,536902597.0,-1
Conflux,CFX,2.98,2116840.0,209805523.0,178.0,0.01,0.0001378829,,,23128.0,1159056650.0,-1
Akash Network,AKT,7.33,2076643.0,208785318.0,179.0,0.01,0.0001372124,,,36032.0,732706238.0,-1
Alpha Finance,ALPHA,0.130916,52126539.0,208143102.0,180.0,0.25,0.0001367904,,1.0,19617.0,493591571.0,-1
Origin Protocol,OGN,0.234412,48219134.0,207391963.0,181.0,0.233,0.0001362967,,1.0,4090.0,1202307251.857252,-1
Everipedia,IQ,18.8,7370978.0,204299688.0,182.0,0.036,0.0001342645,,,22604.0,563905538.0,-1
Prometeus,PROM,1.0,4243847.0,203023361.0,183.0,0.021,0.0001334257,,,353.0,230206258.0,-1
Venus,XVS,,16477047.0,200589391.0,184.0,0.082,0.0001318261,,1.0,5024.0,315129297.0,-1
WAX,WAXP,1.02,8318573.0,200208164.0,185.0,0.042,0.0001315756,,,26584.0,1045399714.0,-1
Injective Protocol,INJ,1.0,17433315.0,199842259.0,186.0,0.087,0.0001313351,,,1376.0,230631582.0,-1
Audius,AUDIO,12.27,13914388.0,196993464.0,187.0,0.071,0.0001294629,,,4834.0,245461714.0,-1
Tokamak Network,TON,0.427334,10446932.0,196367158.0,188.0,0.053,0.0001290513,,,46602.0,261998108.320094,-1
Fetch.ai,FET,0.012550837635,19240556.0,193072170.0,189.0,0.1,0.0001268859,,,4097.0,1255083763.5,-1
SingularityNET,AGIX,0.014731415901,1430953.0,191481261.0,190.0,0.007,0.0001258403,,1.0,62321.0,294433516.0,-1
Reef Finance,REEF,6.17,12213447.0,190996637.0,191.0,0.064,0.0001255218,,,3382.0,1233799843.0,-1
Ocean Protocol,OCEAN,314.47,13099102.0,190221034.0,192.0,0.069,0.0001250121,,,9216.0,753302117.0,-1
Orchid Protocol,OXT,0.019405027067,77424995.0,189970671.0,193.0,0.408,0.0001248476,,1.0,27392.0,194050270.67,-1
Numeraire,NMR,3.26,13127088.0,187950520.0,194.0,0.07,0.0001235199,34585.0,1.0,20363.0,1807047587.0,-1
Uquid Coin,UQC,33.49,3256365.0,184139576.0,195.0,0.018,0.0001210154,9886.0,1.0,12108.0,368404389.0,-1
TomoChain,TOMO,0.262191,26440875.0,183248400.0,196.0,0.144,0.0001204297,,1.0,22591.0,302305587.18682504,-1
Raydium,RAY,0.2482,7944209.0,181684102.0,197.0,0.044,0.0001194017,,1.0,18120.0,191481261.0,-1
IoTeX,IOTX,17.64,11935956.0,180633926.0,198.0,0.066,0.0001187115,,1.0,3852.0,705600000.0,-1
Anchor Protocol,ANC,0.126671,3230117.0,179298640.0,199.0,0.018,0.000117834,,1.0,1349.0,253342000.0,-1
Metadium,META,0.019039433464,27040526.0,174458773.0,200.0,0.155,0.0001146533,,1.0,10867.0,,-1
Alchemix,ALCX,2.05,3598548.0,172022146.0,201.0,0.021,0.0001130519,,1.0,10117.0,2056861729.0,-1
Nominex,NMX,1.9,6306920.0,171212585.0,202.0,0.037,0.0001125199,,,43958.0,542319785.0,-1
ZKSwap,ZKS,0.243813,5480465.0,171052236.0,203.0,0.032,0.0001124145,,1.0,13553.0,243813000.0,-1
StormX,STMX,3.21,11339755.0,170485465.0,204.0,0.067,0.000112042,42275.0,,29658.0,32024108179.0,-1
Swipe,SXP,0.199204,92250714.0,168679914.0,205.0,0.547,0.0001108554,27930.0,1.0,8763.0,199204000.0,-1
Civic,CVC,0.028890821244,15593029.0,166453485.0,207.0,0.094,0.0001093922,,1.0,18350.0,288908212.44,-1
Aave [OLD],LEND,0.070285084845,37836.0,165971379.0,206.0,0.0,0.0001090754,,1.0,2485.0,702850848.4499999,-1
Evolution Finance,EVN,1.77,22514.0,165619463.0,208.0,0.0,0.0001088441,,,11972.0,226661644.02,-1
Ardor,ARDR,0.167795,19095594.0,165454652.0,209.0,0.115,0.0001087358,,,6999.0,167627120.263525,-1
FUNToken,FUN,2.96,2912278.0,163861073.0,210.0,0.018,0.0001076885,,1.0,10589.0,3839140335.0,-1
Rocket Pool,RPL,1.49,615526.0,161694109.0,211.0,0.004,0.0001062644,12470.0,,3668.0,335811661.0,-1
Orbs,ORBS,0.759725,14231748.0,161385723.0,212.0,0.088,0.0001060617,6893.0,1.0,6640.0,757731257.0,-1
Celer Network,CELR,10.74,31478025.0,160881632.0,213.0,0.196,0.0001057304,,1.0,7324.0,193379809.0,-1
Kirobo,KIRO,522.22,744040.0,160345086.0,214.0,0.005,0.0001053778,,1.0,1668.0,156361545.74,-1
Stratis,STRAX,1.33,6269211.0,160178940.0,215.0,0.039,0.0001052686,,1.0,30.0,1330000000.0,-1
Serum,SRM,0.015395151655,39727666.0,158296471.0,216.0,0.251,0.0001040315,8963.0,1.0,11928.0,169344722.58112898,-1
Cartesi,CTSI,0.526906,8450722.0,156853952.0,217.0,0.054,0.0001030835,,1.0,651.0,1159193200.0,-1
Kyber Network Crystal,KNC,0.428138,9255529.0,156818703.0,218.0,0.059,0.0001030603,,,21373.0,428220459.0,-1
sEUR,SEUR,5.29,1437048.0,156795650.0,219.0,0.009,0.0001030452,,,24823.0,528781111.0,-1
Ampleforth Governance Token,FORTH,2.22,44663019.0,155868747.0,220.0,0.287,0.000102436,,1.0,12492.0,222000000.00000003,-1
Ampleforth,AMPL,0.320013,2512918.0,155418613.0,221.0,0.016,0.0001021402,,1.0,16679.0,320013000.0,-1
Polymath Network,POLY,1.01,5859950.0,155267348.0,222.0,0.038,0.0001020408,,1.0,10240.0,,-1
Ledgis,LED,0.433528,607082.0,155163580.0,223.0,0.004,0.0001019726,,,13783.0,,-1
Tether Gold,XAUT,18.52,44705.0,154606508.0,224.0,0.0,0.0001016065,,,9937.0,277830639.0,-1
Orion Protocol,ORN,0.050237875682,2998575.0,152479897.0,225.0,0.02,0.0001002089,,1.0,2973.0,502378756.82,-1
Sapphire,SAPP,1.49,436669.0,145241450.0,226.0,0.003,9.54518e-05,,1.0,26963.0,336479220.0,-1
